trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
74,False,"{'a': 0.33, 'e': 0.16121764412977674}",20,0,8.371138884145775,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
75,False,"{'a': 0.33, 'e': 0.1572371663136276}",20,0,-26.857673411514593,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
76,False,"{'a': 0.33, 'e': 0.15335496684492847}",25,11,14.031827617975882,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.33, 'e': 0.14956861922263504}",20,12,16.353619938614763,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.33, 'e': 0.14587575685622736}",20,5,19.054938421087602,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.33, 'e': 0.14227407158651353}",30,0,19.407195295922378,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
80,False,"{'a': 0.33, 'e': 0.13876131224295524}",20,11,15.673669293194681,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.33, 'e': 0.1353352832366127}",25,11,24.21019495457568,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.33, 'e': 0.13199384318783022}",30,18,23.843418193133115,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.33, 'e': 0.12873490358780418}",25,11,26.73724222663241,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.33, 'e': 0.1255564274931972}",25,3,-2.5808007509738635,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
85,False,"{'a': 0.33, 'e': 0.1224564282529819}",20,1,-16.443343727461418,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
86,False,"{'a': 0.33, 'e': 0.11943296826671962}",25,0,15.59594571731152,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
87,False,"{'a': 0.33, 'e': 0.11648415777349697}",20,0,-15.787679044283692,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
88,False,"{'a': 0.33, 'e': 0.11360815367076371}",20,0,16.831550100848197,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.33, 'e': 0.11080315836233387}",20,6,18.89779324157319,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.33, 'e': 0.10806741863482926}",20,6,21.223598591617108,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.33, 'e': 0.10539922456186433}",30,13,14.600539218406308,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.33, 'e': 0.1027969084352864}",30,9,-26.219053374321017,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 1}",1
93,False,"{'a': 0.33, 'e': 0.1002588437228037}",20,11,10.326989605823627,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.33, 'e': 0.09778344405135005}",30,0,23.462254896137477,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
95,False,"{'a': 0.33, 'e': 0.09536916221554961}",30,0,23.92881215825992,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",1
96,False,"{'a': 0.33, 'e': 0.09301448921066349}",20,0,29.06856659716514,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
97,False,"{'a': 0.33, 'e': 0.09071795328941247}",30,7,43.52523178014144,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.33, 'e': 0.08847811904208727}",20,11,-3.973977669813774,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
99,False,"{'a': 0.33, 'e': 0.0862935864993705}",30,23,14.030661526103692,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.33, 'e': 0.08416299025731036}",30,15,7.48854556815254,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.33, 'e': 0.0820849986238988}",30,14,29.792863494405754,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.33, 'e': 0.08005831278672051}",30,9,35.243087435509686,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.33, 'e': 0.07808166600115313}",35,16,32.14326385332722,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.33, 'e': 0.07615382279861033}",25,19,14.184649161354576,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.33, 'e': 0.07427357821433388}",30,4,42.86681940862296,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.33, 'e': 0.07243975703425146}",20,11,16.682025816740882,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.33, 'e': 0.07065121306042957}",25,6,16.915678194974742,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
